n_faces,face_area,max_conf,face_boxes,id,year
0,0.0,0.0,,1091,1982
0,0.0,0.0,,10885,2008
0,0.0,0.0,,82990,2012
0,0.0,0.0,,861057,2021
0,0.0,0.0,,12700,2005
0,0.0,0.0,,29426,2010
0,0.0,0.0,,19286,1995
2,0.0404,0.917,"0.6597,0.3095,0.1901,0.1547|0.5085,0.4967,0.1142,0.096",611651,2019
0,0.0,0.0,,532638,2018
2,0.127,0.859,"0.2437,0.4055,0.3154,0.2102|0.0015,0.0593,0.2482,0.2444",9902,2003
0,0.0,0.0,,605804,2020
2,0.0036,0.847,"0.4191,0.2558,0.0496,0.0438|0.5432,0.2349,0.041,0.0345",58431,2016
0,0.0,0.0,,9725,1981
0,0.0,0.0,,610253,2021
0,0.0,0.0,,532973,2018
1,0.1384,0.934,"0.297,0.2914,0.3919,0.3533",532710,2022
3,0.062,0.936,"0.4269,0.159,0.1539,0.1509|0.418,0.5668,0.1573,0.1282|0.4298,0.3706,0.1456,0.1277",739990,2021
0,0.0,0.0,,226948,2013
4,0.0764,0.89,"0.4,0.3391,0.2001,0.1747|0.2042,0.4041,0.1521,0.1385|0.6686,0.4316,0.1151,0.1172|0.4492,0.5386,0.085,0.0807",42941,2010
0,0.0,0.0,,71668,2012
0,0.0,0.0,,764,1981
1,0.3783,0.918,"0.1721,0.12,0.6276,0.6028",732713,2020
1,0.0803,0.93,"0.5322,0.1589,0.2939,0.2731",320048,2015
0,0.0,0.0,,730167,2022
1,0.1955,0.898,"-0.0041,0.0647,0.3462,0.5646",28355,2009
1,0.0297,0.876,"0.329,0.1234,0.1886,0.1573",47044,1993
2,0.1841,0.906,"0.6124,0.0699,0.3747,0.3954|0.4927,0.47,0.1995,0.1799",473149,2018
1,0.0305,0.907,"0.2075,0.2847,0.1904,0.1604",1923,1992
3,0.1268,0.929,"0.148,0.1638,0.2381,0.223|0.4156,0.1738,0.2058,0.1998|0.6753,0.1957,0.1853,0.1761",525460,2018
0,0.0,0.0,,22970,2012
0,0.0,0.0,,668343,2020
2,0.056,0.942,"0.2183,0.071,0.188,0.1738|0.6463,0.0889,0.1568,0.1487",945657,2022
1,0.0163,0.869,"0.4412,0.2822,0.1348,0.1212",790,1980
0,0.0,0.0,,480414,2019
1,0.0071,0.801,"0.6435,0.6066,0.0879,0.081",431259,2017
0,0.0,0.0,,837,1983
1,0.0715,0.747,"0.4354,0.191,0.2649,0.2699",807356,2022
1,0.4219,0.664,"0.3787,0.0863,0.6235,0.6767",793967,2021
1,0.0057,0.867,"0.294,0.1776,0.0825,0.0685",10166,1990
1,0.0099,0.765,"0.4569,0.3548,0.1116,0.0889",316727,2016
2,0.1059,0.817,"0.4281,0.2289,0.2598,0.2115|0.1556,0.175,0.2444,0.2087",10586,1996
1,0.2473,0.66,"0.1355,0.5962,0.5808,0.4258",2667,1999
0,0.0,0.0,,30497,1974
0,0.0,0.0,,70112,2010
0,0.0,0.0,,100241,2014
0,0.0,0.0,,361292,2018
2,0.0319,0.868,"0.6678,0.0566,0.1585,0.1579|0.7986,0.5351,0.0948,0.0725",43947,2010
0,0.0,0.0,,629015,2022
1,0.74,0.86,"0.1152,0.2044,0.8465,0.8742",10768,1981
2,0.094,0.856,"0.6569,0.1687,0.25,0.2069|0.3698,0.6012,0.2385,0.1772",519337,2018
0,0.0,0.0,,94365,2015
0,0.0,0.0,,19287,1996
1,0.0021,0.824,"0.4549,0.5676,0.0504,0.0422",579,1978
5,0.0732,0.896,"0.4411,0.1764,0.1489,0.1296|0.1418,0.1948,0.1364,0.1215|0.7742,0.1662,0.1267,0.1143|0.6573,0.1032,0.1197,0.1019|0.2848,0.0765,0.1114,0.0958",1551,1990
0,0.0,0.0,,787009,2021
1,0.0273,0.705,"0.2548,0.1523,0.1869,0.1461",36647,1998
0,0.0,0.0,,896448,2022
1,0.02,0.802,"0.5371,0.1007,0.1501,0.1331",226140,2014
1,0.3554,0.912,"0.2885,0.1699,0.5731,0.6202",623034,2018
3,0.0414,0.923,"0.1138,0.2184,0.1302,0.1136|0.4003,0.2137,0.127,0.1106|0.6867,0.25,0.1213,0.1034",9374,1992
0,0.0,0.0,,176,2004
0,0.0,0.0,,11449,1979
0,0.0,0.0,,11246,2002
0,0.0,0.0,,362826,2018
5,0.1022,0.907,"0.0005,0.2975,0.187,0.2622|0.8457,0.3373,0.1614,0.2066|0.2595,0.3761,0.1004,0.0934|0.6651,0.3807,0.0841,0.08|0.6281,0.3946,0.0614,0.0606",458305,2019
2,0.136,0.895,"0.4666,0.2233,0.3552,0.3678|0.2061,0.3193,0.08,0.0669",11361,1989
0,0.0,0.0,,25239,1978
1,0.0808,0.878,"0.4775,0.3072,0.3023,0.2674",9711,2004
0,0.0,0.0,,333371,2016
0,0.0,0.0,,433808,2017
4,0.0224,0.925,"0.395,0.2806,0.0992,0.0807|0.1782,0.2925,0.0841,0.0709|0.6301,0.3428,0.076,0.0598|0.8282,0.3917,0.0705,0.0553",338967,2019
5,0.1542,0.918,"0.0355,0.3759,0.2894,0.3123|0.7613,0.1473,0.2217,0.2027|0.8155,0.7921,0.1186,0.1012|0.25,0.0992,0.0669,0.0569|0.0707,0.1077,0.0603,0.0505",13848,2007
2,0.1906,0.924,"0.5686,0.2983,0.3409,0.289|0.1231,0.2851,0.3183,0.2894",816952,2022
1,0.0079,0.863,"0.5473,0.5341,0.0854,0.092",547565,2021
3,0.0115,0.894,"0.3597,0.2692,0.079,0.068|0.1384,0.3073,0.0617,0.057|0.616,0.3228,0.0565,0.0466",25769,2009
1,0.5164,0.947,"0.0812,0.0496,0.7769,0.6647",502416,2019
0,0.0,0.0,,8769,1983
2,0.0188,0.913,"0.2299,0.2233,0.1076,0.0959|0.6799,0.2145,0.0998,0.0851",7340,1976
0,0.0,0.0,,530385,2019
1,0.5524,0.859,"0.0797,0.0559,0.781,0.7073",526051,2018
1,0.0618,0.909,"0.3782,0.2881,0.2572,0.2401",758724,2022
1,0.0063,0.89,"0.468,0.5764,0.0859,0.0733",288158,2014
0,0.0,0.0,,839436,2021
0,0.0,0.0,,150202,2013
3,0.0154,0.927,"0.465,0.1861,0.0794,0.0694|0.2813,0.2141,0.0787,0.0652|0.6066,0.2258,0.0766,0.0621",747,2004
0,0.0,0.0,,4488,1980
1,0.0165,0.834,"0.4664,0.0018,0.1509,0.1093",8398,2007
1,0.134,0.895,"0.2884,0.0239,0.4225,0.317",9542,1986
0,0.0,0.0,,26466,2009
0,0.0,0.0,,9913,2005
1,0.0068,0.904,"0.4287,0.2882,0.0839,0.0809",9678,2000
0,0.0,0.0,,214,2006
1,0.3849,0.884,"0.0089,0.4421,0.7445,0.517",10242,1962
3,0.0369,0.893,"0.4285,0.1547,0.1193,0.1141|0.8115,0.24,0.1164,0.1067|0.1059,0.2133,0.1125,0.0969",10665,2008
0,0.0,0.0,,801071,2022
1,0.4058,0.935,"0.1616,0.2277,0.6607,0.6142",329010,2016
0,0.0,0.0,,391262,2016
2,0.0345,0.914,"0.2569,0.4921,0.155,0.1271|0.6415,0.4857,0.1249,0.1184",10973,1954
0,0.0,0.0,,41439,2010
1,0.3674,0.921,"0.1509,0.0874,0.6512,0.5642",14001,2007
0,0.0,0.0,,430231,2017
1,0.6037,0.912,"0.0327,0.0333,0.8736,0.6911",48171,2011
0,0.0,0.0,,146301,2015
0,0.0,0.0,,11237,2004
1,0.2133,0.656,"0.0522,0.2114,0.4978,0.4285",23963,2009
1,0.4061,0.883,"0.1593,0.2024,0.7196,0.5644",157547,2013
0,0.0,0.0,,2082,2007
0,0.0,0.0,,9426,1986
5,0.0266,0.91,"0.435,0.252,0.1109,0.0998|0.6825,0.3154,0.0837,0.0778|0.2262,0.3363,0.0824,0.0687|0.1164,0.425,0.0448,0.0397|0.7766,0.406,0.0434,0.0365",14863,2008
0,0.0,0.0,,839440,2021
6,0.1964,0.918,"0.6964,0.2821,0.2953,0.3045|0.5927,0.4515,0.2006,0.1719|0.0922,0.3948,0.1734,0.1621|0.2207,0.4626,0.1337,0.1309|0.5139,0.4535,0.1182,0.1243|0.4006,0.4729,0.1096,0.1072",9276,1998
0,0.0,0.0,,333674,2016
0,0.0,0.0,,760104,2022
0,0.0,0.0,,21407,2009
1,0.0337,0.897,"0.3719,0.4183,0.1977,0.1706",11186,1990
1,0.0179,0.911,"0.4699,0.1107,0.1394,0.1286",452507,2017
2,0.0028,0.882,"0.095,0.6178,0.0414,0.0364|0.2855,0.6387,0.0392,0.0337",496704,2018
2,0.0356,0.915,"0.0216,0.026,0.1993,0.158|0.4937,0.5792,0.0704,0.0588",669671,2021
0,0.0,0.0,,16871,2009
0,0.0,0.0,,353345,2015
0,0.0,0.0,,44040,2010
0,0.0,0.0,,8408,1985
0,0.0,0.0,,292280,2017
0,0.0,0.0,,277685,2014
3,0.0085,0.88,"0.7268,0.4604,0.0663,0.0543|0.9087,0.5265,0.0549,0.0471|0.5128,0.5134,0.0527,0.0435",119698,2012
1,0.0242,0.757,"0.7023,0.1326,0.1672,0.1449",424121,2018
3,0.1116,0.901,"0.3146,0.4969,0.3256,0.3067|0.4657,0.254,0.1043,0.0889|0.1094,0.7075,0.0525,0.046",2654,1995
2,0.4182,0.889,"0.1021,0.1225,0.534,0.5064|0.4539,0.2265,0.3642,0.4058",3021,2007
4,0.0058,0.747,"0.4438,0.28,0.0456,0.0379|0.3391,0.3285,0.0403,0.0337|0.5925,0.3388,0.0389,0.0346|0.2339,0.3352,0.0404,0.0327",503736,2021
0,0.0,0.0,,17692,1983
0,0.0,0.0,,24150,2009
0,0.0,0.0,,25983,2009
1,0.1646,0.926,"-0.0067,0.1267,0.3936,0.4183",1933,2001
2,0.4945,0.929,"0.1558,0.0606,0.7094,0.6403|0.415,0.8452,0.2376,0.1694",723072,2020
0,0.0,0.0,,9406,1997
0,0.0,0.0,,11415,1986
0,0.0,0.0,,10320,2005
0,0.0,0.0,,524251,2019
0,0.0,0.0,,717728,2022
0,0.0,0.0,,65055,2011
2,0.5818,0.926,"0.0138,0.0689,0.7853,0.7292|0.1408,0.5802,0.1037,0.0879",18392,1995
0,0.0,0.0,,9552,1973
